"No.","Time","Source","Destination","Protocol","Length","Info"
"96","0.375902","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=41379 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"97","0.375904","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=42749 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"98","0.376697","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=44119 Win=626 Len=0"
"99","0.378337","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=44119 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"100","0.381549","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=45489 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"101","0.381550","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=46859 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"102","0.382144","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=46859 Win=626 Len=0"
"103","0.383637","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=48229 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"104","0.384092","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=49599 Win=626 Len=0"
"105","0.384964","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=49599 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"106","0.387506","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=50969 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"107","0.387507","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=52339 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"108","0.388195","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=52339 Win=626 Len=0"
"109","0.392192","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=53709 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"110","0.392689","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=55079 Win=626 Len=0"
"111","0.393116","205.185.216.42","192.168.43.243","TCP","1340","80  >  55357 [PSH, ACK] Seq=55079 Ack=446 Win=60 Len=1286 [TCP segment of a reassembled PDU]"
"112","0.393120","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=56365 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"113","0.394048","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=57735 Win=626 Len=0"
